POINT_COUNT: 35991
[2850.636467 1276.534388]	[2622.345196 1190.593967]
[2850.516863 1278.797488]	[2622.228341 1192.772549]
[2850.429541 1281.064038]	[2622.135718 1194.951443]
[2850.375664 1283.334123]	[2622.068219 1197.130607]
[2850.342505 1285.606477]	[2622.016281 1199.310016]
[2791.888048 1234.050274]	[2549.325161 1157.272648]
[2791.620856 1236.387704]	[2549.373109 1159.527086]
[2791.358815 1238.740712]	[2549.465719 1161.793289]
[2791.350664 1238.814703]	[2549.469232 1161.864506]
[2791.099876 1241.103413]	[2549.585667 1164.066853]
[2790.838593 1243.458936]	[2549.685056 1166.335050]
[2790.569563 1245.790778]	[2549.716935 1168.585454]
[2790.299054 1248.118200]	[2549.735917 1170.832599]
[2790.231110 1248.703750]	[2549.741751 1171.397884]
[2790.029441 1250.448455]	[2549.763118 1173.081918]
[2789.760408 1252.780311]	[2549.795020 1175.332476]
[2789.489278 1255.105851]	[2549.808839 1177.578338]
[2789.216951 1257.427542]	[2549.811930 1179.821337]
[2788.943248 1259.744934]	[2549.803109 1182.061133]
[2788.848178 1260.539172]	[2549.791920 1182.829403]
